platz,nachname,vorname,partei,stimme,KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
22,Bloch,Beat,CSP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
173,Bonato,Diego,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
124,Bossert,Sandra,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
129,Bourgeois,Marc,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
17,Brandenberger,Harry,SP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
159,Brunner,Hans-Peter,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
34,Brunner,Robert,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
101,Bürgin,Yvonne,CVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
155,Burtscher,Rochus,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
49,Büsser,Jeanette,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
13,Bütikofer,Kaspar,AL,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
115,Camenisch,Linda,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
44,Columberg,Leandra,SP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
83,Cometta-Müller,Katrin,GLP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
4,Dalcher,Pierre,SVP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
41,Daurù,Andreas,SP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
51,Dietschi,Urs,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
29,Dünki,Michèle,SP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
70,Dürr,Renate,Grüne,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
134,Egli,Hans,EDU,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
181,Erni,Jonas,SP,JA,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
147,Etter-Gick,Carola,FDP,--,232/2018,,Klimaschutz: Schutzartikel in die Verfassung,Parlamentarische Initiative,Vorläufig unterstützt,AR18232,AR18232,d9b8ca278776445dbf03ed40f6f04224-332,1,2020-01-06,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d9b8ca278776445dbf03ed40f6f04224-332/1/pdf
