KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
258/2014,,Schutz vor religiösem Zwang,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,39994e2f18f546feb3239718eb8e9ebe-332,1,2015-03-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/39994e2f18f546feb3239718eb8e9ebe-332/1/pdf
283/2013,,Steuerfreier Betrag (Sozialabzug) für Ehegatten,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,65333089c1de4e12b3b68e3c9a9c375d-332,1,2015-03-23T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/65333089c1de4e12b3b68e3c9a9c375d-332/1/pdf
5107,5107,"Bewilligung eines Objektkredites für die Neunutzung der Klosterinsel Rheinau, Projektteil Hauswirtschaftskurse an Mittelschulen und Gastronomie",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,b4bad39408bc4586afeae2d94892a86b-332,1,2015-03-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b4bad39408bc4586afeae2d94892a86b-332/1/pdf
5111,5111,Bewilligung von Staatsbeiträgen für den Bau der Limmattalbahn sowie für ergänzende Massnahmen am Strassennetz,Vorlage,Zustimmung,Abstimmungsresultat Römisch 1,Abstimmungsresultat_Roemisch_1,6c5784b16f9944f19ef744cf873f2d02-332,1,2015-03-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6c5784b16f9944f19ef744cf873f2d02-332/1/pdf
5111,5111,Bewilligung von Staatsbeiträgen für den Bau der Limmattalbahn sowie für ergänzende Massnahmen am Strassennetz,Vorlage,Zustimmung,Abstimmungsresultat Römisch 2,Abstimmungsresultat_Roemisch_2,3cc4a33a5a374589a455cb274ed1e1a2-332,1,2015-03-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/3cc4a33a5a374589a455cb274ed1e1a2-332/1/pdf
5127,5127,Änderung der Verordnung zum Ruhetags- und Ladenöffnungsgesetz (Kleinläden),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,c34ecea464634ed7a014132e1043d4f2-332,1,2015-03-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c34ecea464634ed7a014132e1043d4f2-332/1/pdf
5111,5111,Bewilligung von Staatsbeiträgen für den Bau der Limmattalbahn sowie für ergänzende Massnahmen am Strassennetz,Vorlage,Zustimmung,Abstimmungsresultat Römisch 3,Abstimmungsresultat_Roemisch_3,17ae1d6abf184f80b2c5fde02d58a267-332,1,2015-03-30T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/17ae1d6abf184f80b2c5fde02d58a267-332/1/pdf
4974,4974,Gemeindegesetz (GG),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,5564d99b96b344ea8ee8cca8600262be-332,1,2015-04-20T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5564d99b96b344ea8ee8cca8600262be-332/1/pdf
79/2015,,Geschäftsbericht der Elektrizitätswerke des Kantons Zürich für das Jahr 2013/14,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,2a1d157c7df840f1b4757ca93bb083bd-332,1,2015-04-20T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/2a1d157c7df840f1b4757ca93bb083bd-332/1/pdf
5087,5087,Fristerstreckung für die Berichterstattung und Antragstellung zur Motion KR-Nr. 84/2011 betreffend Finanzierung der stationären Jugendhilfe,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,c4c8b8616c014a6da5b55f54ac57ae33-332,1,2015-04-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c4c8b8616c014a6da5b55f54ac57ae33-332/1/pdf
87/2013,,Mittelschulen: Änderung des Aufnahmeverfahrens,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,9aded25ba54b4370a1f7c43a925cdb37-332,1,2015-04-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9aded25ba54b4370a1f7c43a925cdb37-332/1/pdf
5137,5137,Bewilligung eines Beitrages aus dem Lotteriefonds zugunsten der Stiftung Pestalozzianum Zürich,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,0be0f24824344f2c8827b0abd23c0b37-332,1,2015-04-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/0be0f24824344f2c8827b0abd23c0b37-332/1/pdf
5162,5162,Beitritt zur interkantonalen Vereinbarung zur Harmonisierung von Ausbildungsbeiträgen (Stipendienkonkordat),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,6890ff0b6d764b2bbcc6650855482916-332,1,2015-04-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6890ff0b6d764b2bbcc6650855482916-332/1/pdf
387/2009,,Eltern den Wiedereinstieg erleichtern (Stipendienreform II),Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,61f047162ee64733ac0c926f3fb22f01-332,1,2015-04-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/61f047162ee64733ac0c926f3fb22f01-332/1/pdf
386/2009,,"Elternbeiträge sind wichtig, aber zu hoch (Stipendienreform I)",Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,2c67930a67984b9282c956a3ad7aa9ea-332,1,2015-04-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/2c67930a67984b9282c956a3ad7aa9ea-332/1/pdf
267/2014,,Aufhebung der Rechtsverbindlichkeit bezüglich Sozialhilfeleistungen an die SKOS-Richtlinien und Erlass von kantonalen Richtlinien,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,f7b27aadf15641e9b69b69f793db34c5-332,1,2015-05-04T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/f7b27aadf15641e9b69b69f793db34c5-332/1/pdf
5011,5011,Statistikgesetz (StatG),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,4398af876b1249acab10d9a50a93b6f1-332,1,2015-05-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/4398af876b1249acab10d9a50a93b6f1-332/1/pdf
5135,5135,Gesetz über das Meldewesen und die Einwohnerregister (MERG),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,77663a0de59f4458bc670cad3f1f0beb-332,1,2015-05-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/77663a0de59f4458bc670cad3f1f0beb-332/1/pdf
78/2015,,Rechnung und Geschäftsbericht der Zürcher Kantonalbank für das Jahr 2014,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,5a1f8409681a4ef8adbc2e5690372e46-332,1,2015-05-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5a1f8409681a4ef8adbc2e5690372e46-332/1/pdf
168/2013,,Abschaffung der Dringlichkeitsdebatte,Parlamentarische Initiative,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,947cec98c7554c219a45db0b477452b1-332,1,2015-05-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/947cec98c7554c219a45db0b477452b1-332/1/pdf
258/2013,,Abschaffung der elektronischen Stimmabgabe,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,8b1e412f02804f3a95661640ad8d48a4-332,1,2015-06-01T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8b1e412f02804f3a95661640ad8d48a4-332/1/pdf
246/2013,,Das letzte Wort dem Volk (Verfahren bei der Volksinitiative in der Form der allgemeinen Anregung),Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,54f6a8d9451444c9a25edc1b9cc7a38b-332,1,2015-06-01T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/54f6a8d9451444c9a25edc1b9cc7a38b-332/1/pdf
5149,5149,Bau eines Schwemmholzrückhaltes an der Sihl oberhalb Langnau a. A.,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,94cd8f507b6f4c49bff5d76e2ea9c601-332,1,2015-06-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/94cd8f507b6f4c49bff5d76e2ea9c601-332/1/pdf
5113,5113,Bewilligung eines Beitrages aus dem Lotteriefonds zugunsten der Baudirektion für die Sanierung der Wasserkraftwerke am Aabach,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,923e8e0416ba4edc96d5af7a5ca1193d-332,1,2015-06-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/923e8e0416ba4edc96d5af7a5ca1193d-332/1/pdf
5058,5058,Beitritt zur Interkantonalen Vereinbarung über die Harmonisierung der Baubegriffe,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,786a1d1151e14882981b5254831dd0e5-332,1,2015-06-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/786a1d1151e14882981b5254831dd0e5-332/1/pdf
244/2013,,Verbandsbeschwerderecht für Kulturlandschutz,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,f8606e4fdbf14f17a58545cac1d9304a-332,1,2015-06-08T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/f8606e4fdbf14f17a58545cac1d9304a-332/1/pdf
241/2014,,Kostenreduktion dank manueller Stichprobenprüfung von Spitalrechnungen durch die Krankenkassen,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,5b24742af04f419f9ac45502774d2e6a-332,1,2015-06-15T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5b24742af04f419f9ac45502774d2e6a-332/1/pdf
5154,5154,"Universitätsspital Zürich, Spitalrat (Genehmigung der Erneuerungswahl)",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,94f0f506a69e4af6a6d8209bbe93227f-332,1,2015-06-15T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/94f0f506a69e4af6a6d8209bbe93227f-332/1/pdf
5181,5181,Geschäftsbericht und Jahresrechnung der Gebäudeversicherung Kanton Zürich (GVZ) für das Jahr 2014,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a28a774e054b4e5fa54bbe8a38e57d6a-332,1,2015-06-22T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a28a774e054b4e5fa54bbe8a38e57d6a-332/1/pdf
249/2014,,Legales Rechtsabbiegen für Velofahrer,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,090f4917e2ea41a98cc21e61ae95d3a6-332,1,2015-06-22T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/090f4917e2ea41a98cc21e61ae95d3a6-332/1/pdf
286/2014,,Kostenoptimierung und Flexibilität muss auch bei der Sozialhilfe möglich sein,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,21ea2a965d534d47bcdb5a50ec76b1ad-332,1,2015-06-22T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/21ea2a965d534d47bcdb5a50ec76b1ad-332/1/pdf
332/2014,,Reglement über die Entschädigung der Staatsgarantie durch die ZKB,Diverses,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,9e03071e07904451a26056de80195cce-332,1,2015-06-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9e03071e07904451a26056de80195cce-332/1/pdf
5105,5105,"Teilrevision des kantonalen Richtplans (Kap. 4.3 öffentl. Verkehr, Eintrag Linienführung Glattalbahn und Kap. 6 öffentl. Bauten und Anlagen, Einträge Gebietsplanung Nationaler Innovationspark, Hubstandort Dübendorf und Heliport, Wangen-Brüttisellen)",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,ac88d5d0b6b74a6280301a02f6e6c50d-332,1,2015-06-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/ac88d5d0b6b74a6280301a02f6e6c50d-332/1/pdf
5144,5144,Bewilligung von jährlich wiederkehrenden Überträgen aus dem Lotteriefonds (Leistungsgruppe Nr. 4980) an das Amt für Landschaft und Natur für Leistungen im Bereich Naturbildung,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,5ec9246ff09d4e498422e007eca49e22-332,1,2015-06-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5ec9246ff09d4e498422e007eca49e22-332/1/pdf
233/2014,,Änderung der Organisationsverordnung Verwaltungsgericht,Diverses,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,9539b79d348842bb898a65cc6954248e-332,1,2015-06-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9539b79d348842bb898a65cc6954248e-332/1/pdf
4926,4926,Keine Kleinfliegerei auf dem Flugplatz Dübendorf,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,08deed145ea9445f8db2bae893c4fe65-332,1,2015-06-29T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/08deed145ea9445f8db2bae893c4fe65-332/1/pdf
168/2015,,Rechenschaftsbericht Verwaltungsgericht des Kantons Zürich für das Jahr 2014,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,9c8691cfa5894e4cb49aa63a738674a1-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9c8691cfa5894e4cb49aa63a738674a1-332/1/pdf
167/2015,,Rechenschaftsbericht Obergericht des Kantons Zürich für das Jahr 2014,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,caded07eb70c48a2b2ca3cd1835c58a2-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/caded07eb70c48a2b2ca3cd1835c58a2-332/1/pdf
169/2015,,Rechenschaftsbericht Sozialversicherungsgericht des Kantons Zürich für das Jahr 2014,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a63daf4c24894881bf01d833eb88306e-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a63daf4c24894881bf01d833eb88306e-332/1/pdf
5167,5167,Bewilligung eines Rahmenkredites für Vorhaben der Inlandhilfe und der Entwicklungszusammenarbeit 2015 bis 2018 (Lotteriefonds),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,3a25fc1646e644288ee69f169f98b2a7-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/3a25fc1646e644288ee69f169f98b2a7-332/1/pdf
5125,5125,Bewilligung von jährlich wiederkehrenden Überträgen aus dem Lotteriefonds (Leistungsgruppe Nr. 4980) an die Direktionen,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,d5003266f4a84a3eaac505904582c24c-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d5003266f4a84a3eaac505904582c24c-332/1/pdf
23/2015,,Bewilligung eines Verpflichtungskredites für die Erstellung einer Unterführung Winterthurerstrasse in Uster als Ersatz für den niveaugleichen Barrieren-Bahnübergang,Einzelinitiative,Ablehnung - Nicht vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,879b500c5e8042179525d9275fd988ff-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/879b500c5e8042179525d9275fd988ff-332/1/pdf
5101,5101,Gesetz über Controlling und Rechnungslegung,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,05ad58f43af14f3cb29c5e205dd36cfc-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/05ad58f43af14f3cb29c5e205dd36cfc-332/1/pdf
298/2013,,Reduktion der Grundbuchgebühren,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,cbc1899c50924b65a79b1faade05f625-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/cbc1899c50924b65a79b1faade05f625-332/1/pdf
5176,5176,Geschäftsbericht Regierungsrat 2014,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a6d375e78e304cae9b4c2e19c776cb5b-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a6d375e78e304cae9b4c2e19c776cb5b-332/1/pdf
166/2015,,Tätigkeitsbericht der Finanzkontrolle des Kantons Zürich über das Jahr 2014,Geschäftsbericht,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,b94bed059ca74415b68db42e28602b19-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b94bed059ca74415b68db42e28602b19-332/1/pdf
5060,5060,Das Gewerbe soll nicht länger Bank sein müssen – Massnahmen zur Festlegung der Zahlungsfristen durch die öffentliche Hand auf maximal 30 Tage,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,d86748441fb5449f8f05ea0976dd448e-332,1,2015-07-06T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d86748441fb5449f8f05ea0976dd448e-332/1/pdf
95/2009,,"Rechnungsprüfungskommission, Gemeindegesetz § 83a",Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,f527f7e308424556a37148f1e2302659-332,1,2015-08-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/f527f7e308424556a37148f1e2302659-332/1/pdf
151/2009,,Änderung Art. 129 Abs. 4 KV,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,146eb430371f43658cd5cafe48b2ae6d-332,1,2015-08-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/146eb430371f43658cd5cafe48b2ae6d-332/1/pdf
152/2015,,Humanitäre Hilfe für Flüchtlinge,Dringliches Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,0611b4db376e47ae809254927e8946bb-332,1,2015-08-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/0611b4db376e47ae809254927e8946bb-332/1/pdf
5136,5136,Einführungsgesetz zum Schweizerischen Zivilgesetzbuch,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a26f74d90cd9484d8f4a124279919864-332,1,2015-08-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a26f74d90cd9484d8f4a124279919864-332/1/pdf
351/2014,,Organisation der Staatsanwaltschaft im Zürcher Unterland,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,98dd8436d0f04d5a96cb4436adaf2b45-332,1,2015-08-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/98dd8436d0f04d5a96cb4436adaf2b45-332/1/pdf
173/2010,,"Änderung Gemeindegesetz, Beamte mit selbstständigen Befugnissen",Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,4946f396a5fc43ad9b83b0d935800abd-332,1,2015-08-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/4946f396a5fc43ad9b83b0d935800abd-332/1/pdf
362/2013,,Straffung von Rekurs- und Beschwerdeverfahren: Gleiche Fristen für Verfahrensführer und Verfahrensgegner im öffentlichen Recht,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,86c23fdeee1343c98357d933c201e231-332,1,2015-08-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/86c23fdeee1343c98357d933c201e231-332/1/pdf
5143,5143,Gesetz über Anpassung der Gesetzgebung im Bereich der Bildungsdirektion an das Gesetz über die Information und den Datenschutz,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,5a0f2cda19364fa6b0e83e2fb9f7acf7-332,1,2015-08-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/5a0f2cda19364fa6b0e83e2fb9f7acf7-332/1/pdf
5106,5106,Für die öffentliche Bildung Bildungsinitiative,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,69913a70207c4eb7a890c10059a85376-332,1,2015-08-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/69913a70207c4eb7a890c10059a85376-332/1/pdf
5160,5160,Bewilligung eines Objektkredites für die Erweiterung des Bildungszentrums Zürichsee in Horgen,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,47c4ee776a4d44469fe4c2cd0a7beda4-332,1,2015-08-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/47c4ee776a4d44469fe4c2cd0a7beda4-332/1/pdf
5171,5171,Genehmigung der Änderung der Lehrpersonalverordnung,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,d232b26f677d46feabfd80bef801d35c-332,1,2015-08-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d232b26f677d46feabfd80bef801d35c-332/1/pdf
5185,5185,Wahl der Mitglieder des Bildungsrates für die Amtsdauer 2015–2019,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,74fd4f82074b4de582b69b06466b512b-332,1,2015-08-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/74fd4f82074b4de582b69b06466b512b-332/1/pdf
5155,5155,Teilrevision des kantonalen Richtplanes und über die Bewilligung eines Objektkredites für die Erstellung eines Erweiterungsbaus der Universität Zürich (Plattenstrasse 14–22),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,73e7a223dc5d4c18964f190bda03d93d-332,1,2015-08-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/73e7a223dc5d4c18964f190bda03d93d-332/1/pdf
5163,5163,Gesetz über die Pädagogische Hochschule (PHG),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,927d7e944d2c440d8276ab06591389bb-332,1,2015-08-24T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/927d7e944d2c440d8276ab06591389bb-332/1/pdf
9/2014,,Amtszeitbeschränkung für Mitglieder von Aufsichtskommissionen,Parlamentarische Initiative,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,28cfc953e9ff45af8aaacd9b86e47d14-332,1,2015-08-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/28cfc953e9ff45af8aaacd9b86e47d14-332/1/pdf
38/2015,,Splitting für Verheiratete,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,62a11206d80147b0ac10864b3af3e3bb-332,1,2015-08-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/62a11206d80147b0ac10864b3af3e3bb-332/1/pdf
10/2014,,Festsetzung der Besoldungen der Mitglieder des Regierungsrates,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a019899f8d564a028c3514d75898ce63-332,1,2015-08-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a019899f8d564a028c3514d75898ce63-332/1/pdf
5196,5196,"Bewilligung von Nachtragskreditbegehren für das Jahr 2015, I. Serie",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,3d842fa8ab95433d81bacd9cf5b0b768-332,1,2015-08-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/3d842fa8ab95433d81bacd9cf5b0b768-332/1/pdf
5177,5177,Ausrichtung von Teuerungszulagen an die Bezüger staatlicher Renten,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,359be6d644ae4ac5aafb59f23ada6ef1-332,1,2015-08-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/359be6d644ae4ac5aafb59f23ada6ef1-332/1/pdf
339/2012,,Einführung eines Reglements über die Entschädigungen der Mitglieder der Verwaltungsräte bei EKZ und GVZ,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,b9771f4944c24668a65625d27e614d4c-332,1,2015-08-31T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b9771f4944c24668a65625d27e614d4c-332/1/pdf
5148,5148,Durchsetzung der minimalen Lohn- und Arbeitsbedingungen (Lohndumping-Initiative),Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,d0425c8fa8294022878fe5f3b54ae143-332,1,2015-09-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/d0425c8fa8294022878fe5f3b54ae143-332/1/pdf
5147,5147,"Prüfung des geltenden Rechts nach § 5 des Gesetzes
zur administrativen Entlastung der Unternehmen",Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,79e1466bba2c4ce6b2cbfa9eecdf6e0d-332,1,2015-09-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/79e1466bba2c4ce6b2cbfa9eecdf6e0d-332/1/pdf
304/2012,,Mitwirkung des Staates bei der Führung des Lärmfonds (AZNF Airport Zürich Noise Fonds),Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,2475b66d4bdc40e08412fbfa301b4216-332,1,2015-09-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/2475b66d4bdc40e08412fbfa301b4216-332/1/pdf
5190,5190,Waidhaldetunnel,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,667eef327b5541e598ddd73d0e77a37d-332,1,2015-09-07T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/667eef327b5541e598ddd73d0e77a37d-332/1/pdf
110/2014,,Kein Fracking im Kanton Zürich,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,168e8d17fc2341bf95af4eb159209de5-332,1,2015-09-14T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/168e8d17fc2341bf95af4eb159209de5-332/1/pdf
92/2014,,Fischzucht in der Landwirtschaftszone,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,b7819dccb3a74d1baa7dd710ba7f90d0-332,1,2015-09-14T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/b7819dccb3a74d1baa7dd710ba7f90d0-332/1/pdf
117/2014,,Genehmigung von Bau- und Zonenordnungen,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,606c9e4052fc4ab0a231dbcdbf8edd4a-332,1,2015-09-14T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/606c9e4052fc4ab0a231dbcdbf8edd4a-332/1/pdf
