KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
314/2010,,Schutz älterer Bäume durch Änderung des Planungs- und Baugesetzes,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,13c0e351608a4358920a9c9053bc092f-332,1,2013-06-03T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/13c0e351608a4358920a9c9053bc092f-332/1/pdf
340/2010,,Verminderung des Eintrags von Schad- und Nährstoffen aus der Landwirtschaft in Oberflächengewässer,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,c1073482287d4c0f9f5a2bf368cb02e9-332,1,2013-06-03T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/c1073482287d4c0f9f5a2bf368cb02e9-332/1/pdf
173/2011,,Kontrolle der Lohngleichheit zwischen Frauen und Männern,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,8223013cf8334cbdb1e75c20ad0ffd20-332,1,2013-06-10T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8223013cf8334cbdb1e75c20ad0ffd20-332/1/pdf
157/2011,,Verbesserung der Verkehrssituation und des Verkehrsflusses im Raume der Haltestelle Balgrist und der umliegenden Spitäler,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,6be081d778134e999c465ffa90dbb821-332,1,2013-06-10T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/6be081d778134e999c465ffa90dbb821-332/1/pdf
290/2010,,Erhalt der Transit-Kapazität auf Staatsstrassen in den Städten Zürich und Winterthur,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,4063a5853b5c43479271e1b1a36684af-332,1,2013-06-10T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/4063a5853b5c43479271e1b1a36684af-332/1/pdf
72/2011,,Arbeitslosigkeit und Krankheit: Bessere Vermittlungsfähigkeit dank Zusammenspiel der Institutionen,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,7c7989d6e742492d933709ea07533e08-332,1,2013-06-10T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7c7989d6e742492d933709ea07533e08-332/1/pdf
316/2010,,Verknüpfung der Stadtbahn Limmattal mit dem Stadtzürcher Tramnetz,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,8b66d380c2bb4308b1c0cd750f7ff66c-332,1,2013-06-10T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8b66d380c2bb4308b1c0cd750f7ff66c-332/1/pdf
104/2011,,Abschaffung des Nachtfünflibers,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,8001e7b980c743f582e6ea36c7ef0025-332,1,2013-06-11T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/8001e7b980c743f582e6ea36c7ef0025-332/1/pdf
4979,4979,Geschäftsbericht und Jahresrechnung der Gebäudeversicherung Kanton Zürich (GVZ) für das Jahr 2012,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a088a2352d2a41a9b6ec8ba7b65ceedb-332,1,2013-06-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a088a2352d2a41a9b6ec8ba7b65ceedb-332/1/pdf
230/2011,,Transparenz in der Parteienfinanzierung,Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,1cef5bc0ad964d1488c781f3e4c99774-332,1,2013-06-17T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/1cef5bc0ad964d1488c781f3e4c99774-332/1/pdf
